Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,41.092484,41.845215,40.971882,41.566578,33.846729,2973654
2020-01-03,41.296261,41.362801,40.302322,40.813847,33.233799,4014262
2020-01-06,40.202515,40.593433,39.703465,40.593433,33.054317,3441396
2020-01-07,40.797215,41.208927,40.680767,40.917816,33.318455,2816618
2020-01-08,40.589275,41.167339,40.489468,41.146545,33.504704,2659070
2020-01-09,41.504196,41.712135,41.292103,41.321213,33.646935,3098476
2020-01-10,41.466770,41.508358,41.050896,41.113277,33.477615,3130777
2020-01-13,41.254673,41.254673,40.356388,40.668293,33.115273,3089806
2020-01-14,40.643341,40.897022,40.148449,40.302322,32.817272,4170529
2020-01-15,40.302322,40.306480,39.212734,39.291752,31.994387,5857810
2020-01-16,39.333336,39.466415,38.726162,38.988163,31.747185,4517609
2020-01-17,39.366608,39.516323,38.809338,38.834290,31.621889,4582967
2020-01-20,38.680416,38.913303,38.439209,38.730320,31.537226,2802010
2020-01-21,38.493271,38.904987,38.218796,38.593082,31.425476,3320743
2020-01-22,38.722004,39.599495,37.557556,37.773811,30.758364,8999759
2020-01-23,37.432793,37.765491,36.788189,36.954540,30.091251,5682839
2020-01-24,37.062668,37.183270,36.388950,36.546982,29.759386,5996104
2020-01-27,36.039616,36.122791,35.257774,35.411648,28.834906,6571183
2020-01-28,35.507298,36.164379,35.033203,36.002190,29.315771,6708750
2020-01-29,36.139427,36.372314,35.827522,36.110317,29.403816,3965600
2020-01-30,35.740189,36.085361,35.469872,35.590473,28.980520,3977028
2020-01-31,35.636219,35.731873,34.658916,34.771202,28.313406,6017511
2020-02-03,34.829426,34.920918,34.446819,34.617329,28.188112,4874196
2020-02-04,34.808632,35.399174,34.613171,35.224506,28.682522,4197249
2020-02-05,35.266090,36.642635,35.037361,36.642635,29.837271,7289595
2020-02-06,37.046032,37.328827,36.605206,36.659267,29.850815,4471882
2020-02-07,36.497078,36.497078,35.532249,35.669491,29.044861,5351345
2020-02-10,35.756824,36.235077,35.494823,35.802570,29.153227,4438165
2020-02-11,37.058510,37.233173,35.270252,35.461552,28.875544,9279666
2020-02-12,35.444920,36.713333,35.432442,36.592728,29.796633,5981323
2020-02-13,36.014664,36.372314,35.611267,35.968918,29.288679,5057287
2020-02-14,35.931492,36.609364,35.794250,35.819202,29.166769,3901916
2020-02-17,36.347363,36.788189,36.172695,36.326569,29.579906,3431491
2020-02-18,35.848316,35.943966,35.324314,35.324314,28.763792,4942339
2020-02-19,35.503139,35.640381,35.004093,35.573837,28.966972,3754859
2020-02-20,35.490665,36.854729,35.182919,36.384792,29.627316,7037589
2020-02-21,36.106155,36.538666,35.020725,35.428284,28.848454,7961935
2020-02-24,34.371964,34.463455,32.874817,33.041168,26.904678,12125682
2020-02-25,33.369709,33.448723,32.413197,32.854023,26.752291,8358050
2020-02-26,32.646088,33.506947,31.835135,33.423771,27.216225,9711085
